date,user_name,text
1/12/2021 5:18,BBS TV Official,"CATAT! LAYANAN PUSKESWAN GRATIS KECUALI VAKSINASI
&gt;&gt;&gt;
https://t.co/nonag55wLi
.
.
#layanan #puskeswan #gratisâ€¦ https://t.co/DW3UBJO0D7"
1/12/2021 5:40,Halal Indonesia #LPPOMMUISiap,"#SobatHalalMUI, syarat pemberian EUA adlh vaksin hrs memiliki data uji klinik 1 dan 2 scr lengkap, serta data interâ€¦ https://t.co/f2eMWjrXcW"
1/12/2021 5:42,BaBe - Baca Berita,"Ridwan Kamil Ceritakan Efek 2 Kali Disuntik Vaksin Covid-19: Pegal dan Linu 1 Jam, Ngantuk... #RidwanKamilâ€¦ https://t.co/y6P7nt5JcP"
1/12/2021 6:09,llllll,"Heran kenapa masih pakai Sinovac, lebih mahal iya, akurasi rendah iya, uji yang belum selesai iya, perushaan pembuaâ€¦ https://t.co/mwzcrALp2m"
1/12/2021 6:19,yugo notobandino,"udahlah, ayok berubah dan bergerak
umur kita takkan panjang
hidup kita sudah ditentukan
mau sampai kapan kayak giniâ€¦ https://t.co/iN4vsjE75t"
1/12/2021 6:23,Galang.Kun ðŸ‡®ðŸ‡©,"Kok #TolakDivaksinSinovac sih ??
Padahal baru datang 15jt Dosis Bahan baku lo hari ini ðŸ˜….
Kasian Pemerintah buang-bâ€¦ https://t.co/3oKqM2WGFN"
1/12/2021 6:28,Prokompim Pati,"Masih bingung perihal vaksin? Swipe left!

#HumasSetdaPati #PatiLawanCorona #Vaksinasi #VaksinCovid19â€¦ https://t.co/vH4eFG2y3m"
1/12/2021 6:30,Majelis Ulama Indonesia Jawa Timur (MUI JATIM),"Alhamdulillah fatwa halal vaksin sinovac oleh MUI sudah final, setelah otoritas BPOM @BPOM_RI  menyatakan vaksin inâ€¦ https://t.co/lVMGBtaCgp"
1/12/2021 6:31,IraSoenjotoKaminsky,"Sebanyak 15 juta dosis vaksin baru saja tiba di Bandara Soekarno-Hatta, Jakarta. #vaksinasi"
1/12/2021 6:49,KabarGolkar,"Kader Golkar Siap di Vaksin! 
Rakyat Sehat Indonesia Maju

@airlangga_hrt
Ketua Umum DPP Partai Golkarâ€¦ https://t.co/cXPadr3ozL"
1/12/2021 6:51,Matchawika,"Mengapa kok uji klinis di Indonesia kok cuma 65,3% dibanding Brazil 78% dan di Turki bisa 90an% ?

Ada banyak faktor
#Sinovac #Vaksin"
1/12/2021 7:05,Republik Merdeka Banten,"MUI Banten: Sebelum Masyarakat, Kepala Daerah Wajib Disuntik Vaksin Terlebih Dulu - https://t.co/d6vhyP6enDâ€¦ https://t.co/K6KPEyoP70"
